Imagine,Nivel blur,Timp (sec),Raspuns,Scor,Interpretare
pisica.jpg,31,2.48,pisica,100,Recunoaștere excelentă
cheie.jpg,31,2.83,cheie,100,Recunoaștere excelentă
mar.png,11,8.33,mar,60,Întârziere moderată
pisica.jpg,21,13.14,pisica,80,Recunoastere buna
cheie.jpg,21,5.84,cheie,80,Recunoastere buna
mar.png,21,7.23,mar,80,Recunoastere buna
pisica.jpg,31,5.12,pisica,100,Recunoastere excelenta
cheie.jpg,31,4.20,cheie,100,Recunoastere excelenta
mar.png,21,9.13,mar,80,Recunoastere buna
pisica.jpg,31,16.10,pisica,100,Recunoastere excelenta
cheie.jpg,21,5.83,cheie,80,Recunoastere buna
mar.png,31,2.88,mar,100,Recunoastere excelenta
pisica.jpg,31,2.77,pisica,100,Recunoastere excelenta
cheie.jpg,31,2.66,cheie,100,Recunoastere excelenta
mar.png,31,2.71,mar,100,Recunoastere excelenta
pisica.jpg,31,2.84,pisica,100,Recunoastere excelenta
cheie.jpg,31,2.38,cheie,100,Recunoastere excelenta
mar.png,31,2.78,mar,100,Recunoastere excelenta
